name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,cpd_inv_tested,test_interval,observer_response,correct,quest_estimate_cpd_inv,quest_estimate_m,quest_sd_cpd_inv,retinal_spatial_freq_cpd,temporal_freq_hz
YanchengCai,yv,600,0.92,50,0.05,27,2.0,1,1.5,-1.78419,2,2,1,-1.84525,1.6633,0.1487,5.6797,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,2,1.5,-1.78419,2,1,0,-1.72804,1.359,0.13157,5.6797,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,3,1.3,-1.70348,1,1,1,-1.75027,1.4138,0.1307,4.9432,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,4,1.3,-1.70348,2,2,1,-1.77125,1.4667,0.12794,4.9432,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,5,1.3,-1.70348,2,2,1,-1.7904,1.5161,0.12379,4.9432,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,6,1.4906,-1.78056,2,2,1,-1.81082,1.5699,0.12082,5.6451,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,7,1.4906,-1.78056,1,1,1,-1.82983,1.6211,0.11679,5.6451,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,8,1.4906,-1.78056,1,1,1,-1.84714,1.6685,0.11209,5.6451,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,9,1.6489,-1.84003,2,2,1,-1.86436,1.7166,0.10863,6.2299,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,10,1.6489,-1.84003,1,1,1,-1.88044,1.7623,0.10468,6.2299,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,11,1.6489,-1.84003,1,1,1,-1.89523,1.805,0.10045,6.2299,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,12,1.7834,-1.88777,2,2,1,-1.90957,1.847,0.0969,6.7274,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,13,1.7834,-1.88777,2,1,0,-1.8599,1.7041,0.09466,6.7274,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,14,1.7834,-1.88777,2,1,0,-1.82499,1.6079,0.09249,6.7274,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,15,1.6087,-1.82525,1,1,1,-1.83727,1.6413,0.08888,6.0809,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,16,1.6087,-1.82525,1,1,1,-1.84864,1.6727,0.08528,6.0809,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,17,1.6087,-1.82525,1,1,1,-1.85912,1.7019,0.08181,6.0809,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,18,1.6982,-1.8578,2,2,1,-1.86901,1.7298,0.07905,6.4121,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,19,1.6982,-1.8578,2,2,1,-1.8783,1.7562,0.07644,6.4121,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,20,1.6982,-1.8578,2,1,0,-1.84639,1.6664,0.07677,6.4121,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,21,1.6677,-1.84685,1,1,1,-1.8552,1.6909,0.07394,6.2994,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,22,1.6677,-1.84685,1,1,1,-1.86345,1.7141,0.07129,6.2994,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,23,1.6677,-1.84685,1,1,1,-1.87116,1.7358,0.06885,6.2994,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,24,1.733,-1.87014,2,2,1,-1.87848,1.7567,0.06699,6.5407,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,25,1.733,-1.87014,2,2,1,-1.88548,1.7768,0.06528,6.5407,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,26,1.733,-1.87014,1,2,0,-1.86323,1.7134,0.06551,6.5407,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,27,1.7137,-1.86333,1,1,1,-1.86991,1.7323,0.06353,6.4695,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,28,1.7137,-1.86333,2,1,0,-1.8496,1.6753,0.065,6.4695,30.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,29,1.7137,-1.86333,1,2,0,-1.83133,1.6251,0.06722,6.4695,30.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,0,1.49,-3.04431,1,1,1,-3.1075,1.5872,0.25786,28.2141,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,1,1.49,-3.04431,1,1,1,-3.16285,1.6755,0.24026,28.2141,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,2,1.49,-3.04431,1,1,1,-3.20758,1.749,0.21829,28.2141,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,3,1.7477,-3.20676,1,1,1,-3.25224,1.8245,0.20124,32.9762,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,4,1.7477,-3.20676,2,2,1,-3.28969,1.8894,0.18164,32.9762,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,5,1.7477,-3.20676,2,2,1,-3.31967,1.9424,0.162,32.9762,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,6,1.9536,-3.32593,2,1,0,-3.2263,1.7805,0.17149,36.791,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,7,1.9536,-3.32593,1,1,1,-3.25428,1.828,0.16316,36.791,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,8,1.9536,-3.32593,2,1,0,-3.19022,1.7203,0.16762,36.791,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,9,1.7429,-3.20391,1,1,1,-3.21914,1.7684,0.15338,32.8882,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,10,1.7429,-3.20391,2,2,1,-3.24388,1.8103,0.13905,32.8882,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,11,1.7429,-3.20391,2,2,1,-3.26458,1.8458,0.1256,32.8882,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,12,1.8549,-3.26984,1,1,1,-3.28267,1.8771,0.11629,34.9608,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,13,1.8549,-3.26984,2,2,1,-3.29876,1.9053,0.10768,34.9608,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,14,1.8549,-3.26984,1,1,1,-3.313,1.9305,0.09995,34.9608,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,15,1.9313,-3.31341,1,1,1,-3.32594,1.9536,0.09426,36.3769,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,16,1.9313,-3.31341,2,2,1,-3.3378,1.9749,0.08914,36.3769,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,17,1.9313,-3.31341,2,1,0,-3.29781,1.9037,0.09399,36.3769,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,18,1.9076,-3.30003,1,2,0,-3.2628,1.8427,0.10156,35.938,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,19,1.9076,-3.30003,2,2,1,-3.27498,1.8638,0.09516,35.938,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,20,1.9076,-3.30003,1,1,1,-3.28623,1.8834,0.08931,35.938,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,21,1.8891,-3.28951,1,1,1,-3.29666,1.9016,0.08378,35.5954,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,22,1.8891,-3.28951,1,1,1,-3.30619,1.9185,0.0789,35.5954,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,23,1.8891,-3.28951,2,2,1,-3.31491,1.9339,0.07464,35.5954,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,24,1.9354,-3.31575,1,2,0,-3.28977,1.8896,0.07922,36.4541,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,25,1.9354,-3.31575,2,2,1,-3.29826,1.9045,0.07514,36.4541,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,26,1.9354,-3.31575,2,1,0,-3.27599,1.8655,0.08045,36.4541,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,27,1.872,-3.27975,2,2,1,-3.28469,1.8807,0.07553,35.2794,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,28,1.872,-3.27975,2,2,1,-3.29265,1.8946,0.07121,35.2794,20.0
YanchengCai,ach,80,0.9,50,0.25,27,2.0,29,1.872,-3.27975,1,2,0,-3.26861,1.8527,0.07768,35.2794,20.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,0,1.09,-2.55587,2,2,1,-2.6142,1.17,0.24216,16.6961,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,1,1.09,-2.55587,1,2,0,-2.48714,1.0,0.18885,16.6961,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,2,1.09,-2.55587,1,1,1,-2.48714,1.0,0.19846,16.6961,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,3,1.0,-2.48714,2,2,1,-2.48949,1.003,0.19955,15.3851,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,4,1.0,-2.48714,1,1,1,-2.52971,1.0552,0.19573,15.3851,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,5,1.0,-2.48714,1,1,1,-2.56601,1.1037,0.18825,15.3851,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,6,1.0833,-2.55089,2,2,1,-2.60138,1.1521,0.18256,16.5988,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,7,1.0833,-2.55089,1,1,1,-2.63311,1.1966,0.17501,16.5988,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,8,1.0833,-2.55089,2,2,1,-2.66068,1.2362,0.16673,16.5988,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,9,1.199,-2.6348,2,2,1,-2.68976,1.2787,0.16212,18.2912,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,10,1.199,-2.6348,2,1,0,-2.58108,1.1242,0.1377,18.2912,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,11,1.199,-2.6348,1,1,1,-2.6026,1.1538,0.13447,18.2912,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,12,1.1503,-2.60006,1,1,1,-2.62309,1.1825,0.12916,17.5772,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,13,1.1503,-2.60006,1,1,1,-2.64172,1.2089,0.12431,17.5772,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,14,1.1503,-2.60006,1,1,1,-2.65855,1.2331,0.12011,17.5772,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,15,1.2138,-2.64517,2,2,1,-2.67569,1.258,0.11876,18.5081,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,16,1.2138,-2.64517,1,1,1,-2.69213,1.2822,0.11769,18.5081,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,17,1.2138,-2.64517,2,2,1,-2.70782,1.3056,0.11677,18.5081,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,18,1.2705,-2.68423,2,2,1,-2.7247,1.331,0.11744,19.3401,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,19,1.2705,-2.68423,2,2,1,-2.74132,1.3563,0.1177,19.3401,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,20,1.2705,-2.68423,1,1,1,-2.75746,1.3811,0.11742,19.3401,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,21,1.3341,-2.72677,2,2,1,-2.77524,1.4089,0.11771,20.2744,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,22,1.3341,-2.72677,2,1,0,-2.70421,1.3002,0.09128,20.2744,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,23,1.3341,-2.72677,2,2,1,-2.71624,1.3182,0.09239,20.2744,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,24,1.2967,-2.70188,1,1,1,-2.72817,1.3362,0.09297,19.7242,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,25,1.2967,-2.70188,1,1,1,-2.74005,1.3543,0.09349,19.7242,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,26,1.2967,-2.70188,1,2,0,-2.6954,1.2871,0.07718,19.7242,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,27,1.2776,-2.68901,1,1,1,-2.70419,1.3001,0.07636,19.4436,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,28,1.2776,-2.68901,2,2,1,-2.71274,1.3129,0.07574,19.4436,30.0
YanchengCai,rg,150,0.14,50,0.2,27,2.0,29,1.2776,-2.68901,2,2,1,-2.72108,1.3255,0.07528,19.4436,30.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,0,1.71,-3.18399,2,2,1,-3.24718,1.8159,0.25786,32.2787,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,1,1.71,-3.18399,1,1,1,-3.30253,1.912,0.24026,32.2787,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,2,1.71,-3.18399,2,2,1,-3.34726,1.992,0.21829,32.2787,10.0
